"Gene","AIS_vs_Normal","MIA_vs_Normal","LUAD_vs_Normal","MIA_vs_AIS","LUAD_vs_AIS","LUAD_vs_MIA","Pattern"
"CDH3",2.2562140605891,2.15357249811138,2.95830596443098,-0.102641562477721,0.702091903841874,0.804733466319594,"p3"
"VMP1",1.27009112020603,1.12344354418093,1.77139412586248,-0.146647576025107,0.501303005656444,0.647950581681552,"p3"
"DLX3",1.11854394180865,1.74313445464852,2.09415042751157,0.624590512839875,0.975606485702922,0.351015972863051,"p3"
"FGFR3",1.06534044473898,1.14857295651123,0.642299631749405,0.0832325117722427,-0.423040812989575,-0.506273324761818,"p3"
"PLA2G10",1.41302731079957,1.34614435415894,1.1384978198346,-0.0668829566406262,-0.274529490964963,-0.207646534324337,"p3"
"ST6GALNAC1",1.95276989165932,2.43922597272625,2.45103154113359,0.486456081066932,0.498261649474266,0.0118055684073355,"p3"
"CNGB1",2.84756950467336,3.13744973187714,3.72444564686117,0.289880227203773,0.876876142187817,0.586995914984042,"p3"
"PANX2",1.31061142655888,1.21757985152691,1.60306008865018,-0.0930315750319618,0.292448662091301,0.385480237123266,"p3"
"TP63",1.88012535529168,2.388899694411,1.71579295178509,0.508774339119324,-0.164332403506585,-0.673106742625904,"p3"
"TRAF4",1.00155196008991,1.06283761209934,1.22147533669902,0.0612856520094303,0.219923376609106,0.158637724599685,"p3"
"GPC4",1.35078699841692,1.10837985843434,1.02608368561423,-0.242407139982581,-0.324703312802687,-0.0822961728201048,"p3"
"CAMSAP3",1.02377959026303,0.731997112044104,0.503914547179272,-0.291782478218929,-0.519865043083757,-0.228082564864825,"p3"
"RAP1GAP",1.90557836245453,1.90472905757082,1.60385664534132,-0.000849304883718625,-0.30172171711321,-0.300872412229493,"p3"
"CLUL1",1.26572224774071,1.03300248477694,0.948859103026521,-0.232719762963759,-0.316863144714181,-0.0841433817504209,"p3"
"CEACAM1",1.12028540930654,0.920216941307719,1.58700280458231,-0.200068467998819,0.466717395275778,0.666785863274588,"p3"
"SCTR",2.4091058880324,1.99560090719705,1.60414256012156,-0.413504980835343,-0.804963327910836,-0.391458347075493,"p3"
"OPRK1",1.71927940720884,1.52951719335339,1.99190248019551,-0.189762213855446,0.272623072986683,0.462385286842126,"p3"
"OVGP1",1.04804316898479,0.786554646010819,0.650432531163651,-0.261488522973975,-0.397610637821137,-0.136122114847164,"p3"
"TTC39A",1.26855116645935,0.987811614250089,0.989265604277429,-0.280739552209258,-0.279285562181917,0.00145399002733528,"p3"
"AQP6",1.44583177517357,2.27972848468366,2.66116943897607,0.833896709510092,1.21533766380251,0.381440954292408,"p3"
