"Gene"	"AIS_vs_Normal"	"MIA_vs_Normal"	"LUAD_vs_Normal"	"MIA_vs_AIS"	"LUAD_vs_AIS"	"LUAD_vs_MIA"
"ARHGAP6"	-1.69062105573261	-1.27890833911335	-2.3513105539046	0.411712716619273	-0.660689498171986	-1.07240221479125
"ROS1"	1.47180603469322	1.51600525329051	1.04499377925408	0.0441992185972805	-0.426812255439144	-0.471011474036425
"TNFRSF17"	1.11415489251926	0.724907581279765	1.11900022046883	-0.389247311239492	0.00484532794957181	0.394092639189069
"LMO3"	1.32396817142686	1.32181264049753	1.26767622163619	-0.00215553092932756	-0.0562919497906691	-0.0541364188613414
"GUCA1A"	-0.800928652898175	0.297373420713632	1.76236839568219	1.0983020736118	2.56329704858037	1.46499497496857
"COL9A2"	0.484055151870622	0.988592138281915	1.61178013468043	0.504536986411294	1.12772498280981	0.623187996398522
"TNFRSF9"	1.41195029737819	1.19717306387941	2.15917609386587	-0.214777233498773	0.747225796487683	0.962003029986453
"EPN3"	1.35029174960628	2.0480293121819	2.89510197464465	0.697737562575624	1.54481022503837	0.847072662462746
"CLPTM1L"	0.769553317681855	0.869208937343356	1.27283072178052	0.0996556196615077	0.503277404098666	0.403621784437159
"NEDD4L"	0.339592250253066	0.165409591675441	-0.673125070124056	-0.174182658577619	-1.01271732037712	-0.838534661799502
"FOXP3"	1.04629919833865	1.0883632579052	1.71046725288808	0.0420640595665467	0.664168054549424	0.622103994982882
"LAMC3"	-1.40648074746294	-1.15838666433668	-1.94091683543981	0.248094083126267	-0.534436087976865	-0.782530171103127
"PTGER3"	-1.14782023045074	-0.796616370381647	-1.11904110735581	0.351203860069094	0.0287791230949331	-0.322424736974158
"TNIP3"	2.38818342012023	1.39841912832268	1.27653094437583	-0.989764291797552	-1.1116524757444	-0.121888183946849
"POLQ"	0.462194706602203	0.463200185821109	2.29810478516264	0.00100547921890037	1.83591007856043	1.83490459934153
"LAMA3"	-0.818437474991993	-1.00811745796722	-1.67096664830066	-0.189679982975228	-0.852529173308662	-0.662849190333434
